Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
04-Jan-10,EQ,"1,700.00","1,728.50","1,692.55","1,702.25","1,705.00","1,705.70","1,704.63","1,839.00",774,"3,05,049","51,99,95,688.80",-,HDFCBANK
05-Jan-10,EQ,"1,710.00","1,725.00","1,705.00","1,705.70","1,705.00","1,707.20","1,713.93","1,839.00",774,"8,38,660","1,43,74,05,390.45",-,HDFCBANK
06-Jan-10,EQ,"1,714.00","1,720.00","1,688.10","1,707.20","1,708.35","1,708.35","1,701.50","1,839.00",774,"6,63,984","1,12,97,70,373.15",-,HDFCBANK
07-Jan-10,EQ,"1,768.40","1,768.40","1,701.60","1,708.35","1,713.90","1,712.80","1,714.12","1,839.00",774,"6,12,398","1,04,97,20,927.90",-,HDFCBANK
08-Jan-10,EQ,"1,712.00","1,723.40","1,701.00","1,712.80","1,720.00","1,715.05","1,715.09","1,839.00",774,"7,08,590","1,21,52,96,568.70",-,HDFCBANK
11-Jan-10,EQ,"1,748.65","1,748.65","1,702.50","1,715.05","1,702.50","1,708.15","1,715.66","1,839.00",774,"13,76,661","2,36,18,86,598.25",-,HDFCBANK
12-Jan-10,EQ,"1,708.00","1,711.80","1,678.60","1,708.15","1,690.10","1,695.20","1,695.82","1,839.00",774,"4,90,705","83,21,45,462.80",-,HDFCBANK
13-Jan-10,EQ,"1,684.95","1,694.80","1,665.55","1,695.20","1,693.90","1,689.30","1,681.30","1,839.00",774,"10,34,675","1,73,96,01,586.45",-,HDFCBANK
14-Jan-10,EQ,"1,710.00","1,713.80","1,670.00","1,689.30","1,684.00","1,683.80","1,683.13","1,839.00",774,"10,17,264","1,71,21,83,507.15",-,HDFCBANK
15-Jan-10,EQ,"1,698.40","1,699.00","1,671.00","1,683.80","1,694.60","1,694.15","1,689.42","1,839.00",774,"11,58,173","1,95,66,40,782.80",-,HDFCBANK
18-Jan-10,EQ,"1,690.00","1,778.00","1,682.10","1,694.15","1,768.00","1,766.65","1,755.69","1,839.00",774,"23,50,146","4,12,61,31,797.60",-,HDFCBANK
19-Jan-10,EQ,"1,765.00","1,788.80","1,752.90","1,766.65","1,777.00","1,779.20","1,775.40","1,839.00",774,"16,66,422","2,95,85,73,135.10",-,HDFCBANK
20-Jan-10,EQ,"1,785.00","1,790.00","1,743.00","1,779.20","1,759.95","1,756.10","1,759.19","1,839.00",774,"13,65,211","2,40,16,61,675.30",-,HDFCBANK
21-Jan-10,EQ,"1,760.90","1,760.90","1,705.10","1,756.10","1,718.00","1,711.65","1,720.43","1,839.00",774,"12,52,347","2,15,45,79,097.35",-,HDFCBANK
22-Jan-10,EQ,"1,696.00","1,700.00","1,654.00","1,711.65","1,662.70","1,677.10","1,682.38","1,839.00",774,"9,47,370","1,59,38,32,454.80",-,HDFCBANK
25-Jan-10,EQ,"1,660.00","1,677.90","1,631.30","1,677.10","1,677.90","1,656.70","1,646.37","1,839.00",774,"6,02,879","99,25,61,005.65",-,HDFCBANK
27-Jan-10,EQ,"1,661.10","1,661.10","1,586.90","1,656.70","1,589.85","1,597.20","1,620.00","1,839.00",774,"12,10,779","1,96,14,63,619.95",-,HDFCBANK
28-Jan-10,EQ,"1,610.00","1,619.00","1,576.80","1,597.20","1,599.80","1,593.25","1,592.74","1,839.00",774,"17,43,223","2,77,64,97,423.80",-,HDFCBANK
29-Jan-10,EQ,"1,580.00","1,637.00","1,552.50","1,593.25","1,622.00","1,631.05","1,595.47","1,839.00",774,"16,43,517","2,62,21,80,729.85",-,HDFCBANK
01-Feb-10,EQ,"1,628.00","1,628.00","1,585.00","1,631.05","1,600.10","1,599.75","1,605.38","1,839.00",774,"7,51,733","1,20,68,19,749.20",-,HDFCBANK
02-Feb-10,EQ,"1,607.00","1,614.90","1,572.00","1,599.75","1,578.00","1,579.10","1,583.09","1,839.00",774,"10,33,470","1,63,60,75,135.75",-,HDFCBANK
03-Feb-10,EQ,"1,600.00","1,632.40","1,578.00","1,579.10","1,615.25","1,622.75","1,613.22","1,839.00",774,"7,72,767","1,24,66,41,850.50",-,HDFCBANK
04-Feb-10,EQ,"1,618.00","1,624.90","1,585.50","1,622.75","1,622.10","1,616.75","1,611.09","1,839.00",774,"8,60,524","1,38,63,79,610.00",-,HDFCBANK
05-Feb-10,EQ,"1,598.00","1,598.00","1,565.00","1,616.75","1,573.00","1,573.35","1,575.63","1,839.00",774,"9,34,694","1,47,27,27,432.80",-,HDFCBANK
06-Feb-10,EQ,"1,589.40","1,589.40","1,567.45","1,573.35","1,575.00","1,575.80","1,576.16","1,839.00",774,"42,238","6,65,73,862.90",-,HDFCBANK
08-Feb-10,EQ,"1,585.00","1,588.85","1,549.00","1,575.80","1,560.00","1,567.40","1,566.91","1,839.00",774,"7,59,060","1,18,93,82,310.05",-,HDFCBANK
09-Feb-10,EQ,"1,566.80","1,577.90","1,551.50","1,567.40","1,575.00","1,571.65","1,567.37","1,839.00",774,"11,97,375","1,87,67,35,545.90",-,HDFCBANK
10-Feb-10,EQ,"1,575.00","1,617.45","1,564.00","1,571.65","1,594.00","1,593.55","1,589.31","1,839.00",774,"13,86,668","2,20,38,49,006.95",-,HDFCBANK
11-Feb-10,EQ,"1,604.00","1,633.00","1,590.00","1,593.55","1,593.30","1,598.00","1,614.83","1,839.00",774,"7,26,969","1,17,39,29,293.65",-,HDFCBANK
15-Feb-10,EQ,"1,597.00","1,619.70","1,582.50","1,598.00","1,614.00","1,613.80","1,603.38","1,839.00",774,"4,80,249","77,00,19,984.50",-,HDFCBANK
16-Feb-10,EQ,"1,605.00","1,622.70","1,590.00","1,613.80","1,620.10","1,606.40","1,600.05","1,839.00",774,"7,17,485","1,14,80,13,081.05",-,HDFCBANK
17-Feb-10,EQ,"1,618.00","1,660.95","1,614.90","1,606.40","1,660.00","1,655.95","1,642.63","1,839.00",774,"12,39,834","2,03,65,84,429.35",-,HDFCBANK
18-Feb-10,EQ,"1,664.90","1,690.00","1,650.75","1,655.95","1,684.00","1,683.75","1,675.06","1,839.00",774,"10,00,442","1,67,57,97,762.00",-,HDFCBANK
19-Feb-10,EQ,"1,670.00","1,700.00","1,656.10","1,683.75","1,688.00","1,693.90","1,682.95","1,839.00",774,"7,34,599","1,23,62,89,853.50",-,HDFCBANK
22-Feb-10,EQ,"1,701.00","1,719.70","1,690.00","1,693.90","1,696.65","1,696.60","1,703.74","1,839.00",774,"6,64,017","1,13,13,15,502.65",-,HDFCBANK
23-Feb-10,EQ,"1,685.05","1,708.85","1,682.35","1,696.60","1,704.00","1,701.00","1,699.43","1,839.00",774,"6,47,289","1,10,00,19,890.00",-,HDFCBANK
24-Feb-10,EQ,"1,690.00","1,710.00","1,687.50","1,701.00","1,698.85","1,700.50","1,700.19","1,839.00",774,"5,60,569","95,30,75,864.00",-,HDFCBANK
25-Feb-10,EQ,"1,701.00","1,704.00","1,682.00","1,700.50","1,691.00","1,691.05","1,692.62","1,839.00",774,"5,83,697","98,79,76,410.60",-,HDFCBANK
26-Feb-10,EQ,"1,690.00","1,734.75","1,680.00","1,691.05","1,709.00","1,704.80","1,711.84","1,839.00",774,"9,35,103","1,60,07,50,178.80",-,HDFCBANK
02-Mar-10,EQ,"1,724.00","1,756.00","1,706.00","1,704.80","1,755.25","1,744.95","1,730.48","1,839.00",774,"7,71,465","1,33,50,05,941.90",-,HDFCBANK
03-Mar-10,EQ,"1,742.55","1,781.00","1,742.55","1,744.95","1,777.10","1,776.65","1,762.97","1,839.00",774,"11,14,796","1,96,53,46,437.80",-,HDFCBANK
04-Mar-10,EQ,"1,775.00","1,787.00","1,753.10","1,776.65","1,779.90","1,781.15","1,773.16","1,839.00",774,"13,51,442","2,39,63,27,276.65",-,HDFCBANK
05-Mar-10,EQ,"1,785.55","1,795.00","1,771.00","1,781.15","1,784.00","1,784.00","1,782.31","1,839.00",774,"10,44,965","1,86,24,48,683.20",-,HDFCBANK
08-Mar-10,EQ,"1,810.00","1,810.00","1,772.90","1,784.00","1,784.35","1,784.20","1,786.32","1,839.00",782.25,"7,37,296","1,31,70,43,268.30",-,HDFCBANK
09-Mar-10,EQ,"1,775.00","1,815.00","1,775.00","1,784.20","1,809.00","1,811.20","1,804.65","1,839.00",782.25,"12,39,769","2,23,73,45,494.75",-,HDFCBANK
10-Mar-10,EQ,"1,812.00","1,819.90","1,729.90","1,811.20","1,810.00","1,814.45","1,812.65","1,839.00",782.25,"14,96,056","2,71,18,21,024.45",-,HDFCBANK
11-Mar-10,EQ,"1,816.00","1,835.00","1,803.10","1,814.45","1,833.00","1,826.95","1,820.44","1,839.00",782.25,"7,74,523","1,40,99,72,539.30",-,HDFCBANK
12-Mar-10,EQ,"1,827.00","1,830.40","1,786.35","1,826.95","1,801.70","1,801.25","1,801.80","1,839.00",782.25,"7,47,244","1,34,63,83,624.60",-,HDFCBANK
15-Mar-10,EQ,"1,780.00","1,820.00","1,780.00","1,801.25","1,810.00","1,812.55","1,812.28","1,839.00",809.1,"7,51,296","1,36,15,59,366.90",-,HDFCBANK
16-Mar-10,EQ,"1,805.00","1,809.90","1,764.00","1,812.55","1,799.80","1,804.60","1,786.12","1,839.00",809.1,"10,43,625","1,86,40,41,884.25",-,HDFCBANK
17-Mar-10,EQ,"1,804.60","1,824.80","1,798.10","1,804.60","1,809.00","1,807.70","1,808.04","1,839.00",809.1,"4,79,484","86,69,23,869.70",-,HDFCBANK
18-Mar-10,EQ,"1,812.40","1,812.40","1,790.50","1,807.70","1,802.90","1,800.90","1,798.71","1,839.00",809.1,"3,50,197","62,99,02,292.70",-,HDFCBANK
19-Mar-10,EQ,"1,814.80","1,824.80","1,797.65","1,800.90","1,819.90","1,819.85","1,816.11","1,839.00",809.1,"6,33,984","1,15,13,86,113.55",-,HDFCBANK
22-Mar-10,EQ,"1,802.00","1,855.00","1,798.00","1,819.85","1,843.40","1,837.10","1,840.23","1,855.00",842,"15,30,561","2,81,65,85,673.65",-,HDFCBANK
23-Mar-10,EQ,"1,835.00","1,890.00","1,835.00","1,837.10","1,888.00","1,884.00","1,872.04","1,890.00",842,"10,15,438","1,90,09,38,605.75",-,HDFCBANK
25-Mar-10,EQ,"1,880.00","1,930.00","1,870.20","1,884.00","1,924.90","1,926.15","1,911.28","1,930.00",842,"23,29,640","4,45,25,89,013.65",-,HDFCBANK
26-Mar-10,EQ,"1,931.00","1,965.60","1,913.10","1,926.15","1,950.00","1,951.45","1,934.81","1,965.60",842,"11,55,286","2,23,52,63,997.90",-,HDFCBANK
29-Mar-10,EQ,"1,628.85","1,990.00","1,628.85","1,951.45","1,969.50","1,965.05","1,967.76","1,990.00",904.4,"13,22,671","2,60,26,97,352.15",-,HDFCBANK
30-Mar-10,EQ,"1,965.00","1,969.90","1,901.40","1,965.05","1,905.00","1,906.85","1,926.30","1,990.00",904.4,"9,36,998","1,80,49,40,201.10",-,HDFCBANK
31-Mar-10,EQ,"1,900.00","1,942.90","1,897.25","1,906.85","1,934.00","1,933.50","1,923.85","1,990.00",904.4,"6,82,608","1,31,32,34,609.90",-,HDFCBANK
01-Apr-10,EQ,"1,950.00","1,950.00","1,926.10","1,933.50","1,935.50","1,939.25","1,934.36","1,990.00",904.4,"7,40,922","1,43,32,06,244.55",-,HDFCBANK
05-Apr-10,EQ,"1,958.80","1,959.60","1,924.40","1,939.25","1,945.80","1,948.50","1,943.02","1,990.00",992.3,"7,12,384","1,38,41,77,186.65",-,HDFCBANK
