Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
31-Dec-2010,EQ,"1,136.65","1,148.20","1,135.00","1,136.85","1,139.30","1,145.10","1,143.14","1,279.00",712.0,"19,59,891","2,24,04,28,541.35",-,ICICIBANK
30-Dec-2010,EQ,"1,123.10","1,143.60","1,123.10","1,129.45","1,132.00","1,136.85","1,135.72","1,279.00",712.0,"37,41,694","4,24,95,02,496.50",-,ICICIBANK
29-Dec-2010,EQ,"1,115.00","1,132.00","1,109.10","1,111.85","1,130.15","1,129.45","1,123.05","1,279.00",712.0,"22,90,701","2,57,25,62,133.50",-,ICICIBANK
28-Dec-2010,EQ,"1,126.00","1,126.00","1,108.70","1,125.55","1,112.00","1,111.85","1,115.35","1,279.00",712.0,"15,44,960","1,72,31,71,977.50",-,ICICIBANK
27-Dec-2010,EQ,"1,118.25","1,136.00","1,118.25","1,118.15","1,125.00","1,125.55","1,129.04","1,279.00",712.0,"16,04,653","1,81,17,17,476.35",-,ICICIBANK
24-Dec-2010,EQ,"1,117.00","1,127.90","1,112.00","1,129.65","1,122.15","1,118.15","1,119.75","1,279.00",712.0,"20,34,531","2,27,81,56,381.05",-,ICICIBANK
23-Dec-2010,EQ,"1,139.00","1,140.00","1,122.80","1,131.75","1,129.25","1,129.65","1,131.84","1,279.00",712.0,"19,26,646","2,18,06,60,011.20",-,ICICIBANK
22-Dec-2010,EQ,"1,145.00","1,145.00","1,120.10","1,138.35","1,133.00","1,131.75","1,132.77","1,279.00",712.0,"26,92,166","3,04,96,17,656.35",-,ICICIBANK
21-Dec-2010,EQ,"1,102.70","1,143.00","1,102.00","1,100.05","1,136.35","1,138.35","1,133.75","1,279.00",712.0,"41,37,814","4,69,12,62,794.50",-,ICICIBANK
20-Dec-2010,EQ,"1,099.70","1,118.90","1,088.05","1,105.75","1,095.70","1,100.05","1,104.32","1,279.00",712.0,"32,12,298","3,54,73,94,262.05",-,ICICIBANK
16-Dec-2010,EQ,"1,084.00","1,112.15","1,068.10","1,078.70","1,096.55","1,105.75","1,091.02","1,279.00",712.0,"41,01,682","4,47,50,22,078.00",-,ICICIBANK
15-Dec-2010,EQ,"1,102.00","1,108.70","1,071.10","1,119.50","1,079.90","1,078.70","1,087.14","1,279.00",712.0,"47,81,060","5,19,77,01,726.70",-,ICICIBANK
14-Dec-2010,EQ,"1,124.90","1,133.00","1,103.35","1,120.40","1,110.20","1,119.50","1,117.30","1,279.00",712.0,"28,30,159","3,16,21,26,170.95",-,ICICIBANK
13-Dec-2010,EQ,"1,126.00","1,126.55","1,086.15","1,117.10","1,118.00","1,120.40","1,107.34","1,279.00",712.0,"36,36,563","4,02,69,23,331.40",-,ICICIBANK
10-Dec-2010,EQ,"1,057.00","1,125.00","1,041.10","1,058.30","1,117.00","1,117.10","1,094.47","1,279.00",712.0,"68,27,525","7,47,25,01,346.85",-,ICICIBANK
09-Dec-2010,EQ,"1,104.05","1,120.70","1,045.10","1,104.40","1,056.25","1,058.30","1,081.84","1,279.00",712.0,"84,12,396","9,10,08,74,437.85",-,ICICIBANK
08-Dec-2010,EQ,"1,105.00","1,113.50","1,085.25","1,110.50","1,109.00","1,104.40","1,100.12","1,279.00",712.0,"42,25,424","4,64,84,74,808.55",-,ICICIBANK
07-Dec-2010,EQ,"1,148.70","1,148.70","1,100.00","1,151.20","1,112.15","1,110.50","1,111.80","1,279.00",712.0,"63,03,028","7,00,76,89,492.15",-,ICICIBANK
06-Dec-2010,EQ,"1,189.50","1,195.20","1,143.20","1,181.45","1,149.00","1,151.20","1,167.09","1,279.00",712.0,"38,87,953","4,53,75,97,044.75",-,ICICIBANK
03-Dec-2010,EQ,"1,186.00","1,190.70","1,167.00","1,191.15","1,186.00","1,181.45","1,180.74","1,279.00",712.0,"26,87,850","3,17,36,58,046.90",-,ICICIBANK
02-Dec-2010,EQ,"1,182.00","1,202.00","1,180.00","1,167.45","1,189.30","1,191.15","1,190.49","1,279.00",712.0,"39,87,877","4,74,75,29,304.90",-,ICICIBANK
01-Dec-2010,EQ,"1,150.00","1,178.00","1,144.80","1,142.10","1,165.50","1,167.45","1,161.28","1,279.00",712.0,"41,93,030","4,86,92,88,647.40",-,ICICIBANK
30-Nov-2010,EQ,"1,150.10","1,156.70","1,127.65","1,154.30","1,148.80","1,142.10","1,142.56","1,279.00",712.0,"58,60,932","6,69,64,39,813.55",-,ICICIBANK
29-Nov-2010,EQ,"1,136.00","1,163.25","1,133.35","1,124.15","1,152.20","1,154.30","1,149.65","1,279.00",712.0,"37,36,399","4,29,55,50,541.65",-,ICICIBANK
26-Nov-2010,EQ,"1,129.00","1,152.60","1,091.25","1,116.25","1,122.60","1,124.15","1,121.78","1,279.00",712.0,"55,87,204","6,26,76,09,570.45",-,ICICIBANK
25-Nov-2010,EQ,"1,136.00","1,157.35","1,102.60","1,125.10","1,127.05","1,116.25","1,128.85","1,279.00",712.0,"76,03,636","8,58,34,01,186.05",-,ICICIBANK
24-Nov-2010,EQ,"1,160.00","1,174.90","1,114.25","1,156.95","1,121.50","1,125.10","1,148.32","1,279.00",712.0,"49,14,885","5,64,38,55,591.00",-,ICICIBANK
23-Nov-2010,EQ,"1,172.00","1,175.40","1,128.00","1,180.05","1,153.95","1,156.95","1,155.20","1,279.00",712.0,"37,51,973","4,33,42,82,029.85",-,ICICIBANK
22-Nov-2010,EQ,"1,152.90","1,193.15","1,145.15","1,148.70","1,192.00","1,180.05","1,170.32","1,279.00",712.0,"32,44,856","3,79,75,25,979.20",-,ICICIBANK
19-Nov-2010,EQ,"1,166.90","1,170.00","1,140.55","1,164.40","1,150.00","1,148.70","1,153.56","1,279.00",712.0,"31,95,844","3,68,66,07,159.80",-,ICICIBANK
18-Nov-2010,EQ,"1,207.00","1,207.45","1,138.80","1,202.30","1,167.00","1,164.40","1,164.18","1,279.00",712.0,"71,11,339","8,27,88,64,382.25",-,ICICIBANK
16-Nov-2010,EQ,"1,232.00","1,240.50","1,193.60","1,223.20","1,206.30","1,202.30","1,216.30","1,279.00",712.0,"39,53,504","4,80,86,44,011.30",-,ICICIBANK
15-Nov-2010,EQ,"1,200.45","1,236.90","1,197.35","1,200.45","1,224.00","1,223.20","1,222.04","1,279.00",712.0,"42,52,182","5,19,63,32,383.65",-,ICICIBANK
12-Nov-2010,EQ,"1,233.00","1,234.90","1,193.85","1,237.10","1,201.50","1,200.45","1,212.75","1,279.00",712.0,"27,61,521","3,34,90,26,529.10",-,ICICIBANK
