Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
31-Dec-2010,EQ,266.5,270.8,263.1,262.45,263.55,264.85,267.23,309.4,135.95,"6,59,898","17,63,43,350.50",-,INDUSINDBK
30-Dec-2010,EQ,254.9,266.9,253.5,253.15,265.5,262.45,258.95,309.4,135.95,"8,92,299","23,10,64,263.75",-,INDUSINDBK
29-Dec-2010,EQ,252.4,254.7,252.05,251.85,253.3,253.15,253.45,309.4,135.95,"4,20,442","10,65,60,822.15",-,INDUSINDBK
28-Dec-2010,EQ,251.95,254.9,248.15,251.95,251.55,251.85,251.96,309.4,135.95,"6,78,891","17,10,55,801.70",-,INDUSINDBK
27-Dec-2010,EQ,252.25,253.35,250.1,250.5,251.95,251.95,251.77,309.4,135.95,"4,35,459","10,96,37,230.85",-,INDUSINDBK
24-Dec-2010,EQ,252.4,254.0,250.0,249.3,250.3,250.5,251.73,309.4,132.25,"4,38,935","11,04,94,574.80",-,INDUSINDBK
23-Dec-2010,EQ,252.05,252.5,246.5,250.6,249.25,249.3,249.57,309.4,132.25,"3,52,117","8,78,79,124.70",-,INDUSINDBK
22-Dec-2010,EQ,248.6,255.2,247.0,248.0,250.7,250.6,251.55,309.4,132.25,"11,37,030","28,60,23,208.40",-,INDUSINDBK
21-Dec-2010,EQ,245.0,251.7,244.5,244.45,248.0,248.0,249.03,309.4,132.25,"13,80,278","34,37,25,729.00",-,INDUSINDBK
20-Dec-2010,EQ,251.85,254.0,241.25,250.5,242.25,244.45,245.84,309.4,132.25,"15,17,050","37,29,52,944.90",-,INDUSINDBK
16-Dec-2010,EQ,257.0,257.4,240.0,255.65,250.5,250.5,249.97,309.4,132.25,"35,43,643","88,58,05,115.30",-,INDUSINDBK
15-Dec-2010,EQ,268.5,268.5,253.1,268.2,255.05,255.65,258.74,309.4,132.25,"11,40,070","29,49,81,829.90",-,INDUSINDBK
14-Dec-2010,EQ,267.4,270.5,262.5,264.85,266.65,268.2,266.68,309.4,132.25,"6,71,958","17,91,94,912.75",-,INDUSINDBK
13-Dec-2010,EQ,261.8,268.5,258.4,260.1,264.55,264.85,262.74,309.4,132.25,"11,05,302","29,04,02,480.60",-,INDUSINDBK
10-Dec-2010,EQ,260.0,274.95,247.3,256.9,260.0,260.1,266.09,309.4,130.1,"18,97,667","50,49,52,414.85",-,INDUSINDBK
09-Dec-2010,EQ,278.0,279.9,252.0,277.6,260.5,256.9,262.56,309.4,130.1,"24,10,883","63,30,12,255.65",-,INDUSINDBK
08-Dec-2010,EQ,286.75,287.85,274.8,287.35,276.5,277.6,279.64,309.4,130.1,"17,55,156","49,08,11,332.50",-,INDUSINDBK
07-Dec-2010,EQ,285.5,292.0,277.1,289.05,288.2,287.35,282.76,309.4,130.1,"17,30,824","48,94,00,067.45",-,INDUSINDBK
06-Dec-2010,EQ,292.5,297.95,287.2,291.3,287.5,289.05,291.93,309.4,130.1,"5,69,298","16,61,95,535.45",-,INDUSINDBK
03-Dec-2010,EQ,297.0,298.05,288.1,297.15,292.3,291.3,292.74,309.4,115.1,"8,48,292","24,83,26,606.75",-,INDUSINDBK
02-Dec-2010,EQ,307.0,309.4,295.1,303.0,297.3,297.15,300.91,309.4,115.1,"18,32,049","55,12,90,403.45",-,INDUSINDBK
01-Dec-2010,EQ,293.85,305.0,283.0,292.35,304.0,303.0,299.0,307.45,115.1,"55,07,777","1,64,68,29,343.45",-,INDUSINDBK
30-Nov-2010,EQ,294.0,299.95,285.0,294.35,286.0,292.35,292.9,307.45,115.1,"1,83,02,097","5,36,06,96,609.15",-,INDUSINDBK
29-Nov-2010,EQ,285.05,295.5,274.95,284.7,295.0,294.35,289.43,307.45,115.1,"39,15,499","1,13,32,46,167.55",-,INDUSINDBK
26-Nov-2010,EQ,288.0,292.45,275.0,287.1,282.0,284.7,284.49,307.45,110.0,"33,58,642","95,55,02,903.35",-,INDUSINDBK
25-Nov-2010,EQ,282.0,295.95,282.0,280.85,284.5,287.1,289.82,307.45,110.0,"46,56,666","1,34,96,17,306.15",-,INDUSINDBK
