Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
31-Dec-2010,EQ,445.0,457.0,445.0,444.95,451.9,453.65,453.58,879.8,435.0,"4,47,707","20,30,72,465.55",-,KOTAKBANK
30-Dec-2010,EQ,451.05,452.0,442.5,448.9,445.35,444.95,445.24,879.8,435.0,"11,08,721","49,36,51,752.65",-,KOTAKBANK
29-Dec-2010,EQ,453.0,453.5,446.5,449.15,450.3,448.9,449.36,879.8,435.0,"7,00,517","31,47,86,080.35",-,KOTAKBANK
28-Dec-2010,EQ,449.5,453.0,445.5,447.45,448.8,449.15,449.72,879.8,435.0,"7,50,900","33,76,96,311.50",-,KOTAKBANK
27-Dec-2010,EQ,451.5,454.7,444.15,450.95,446.5,447.45,448.61,879.8,435.0,"2,99,888","13,45,32,596.70",-,KOTAKBANK
24-Dec-2010,EQ,449.1,453.0,446.1,449.1,450.05,450.95,451.09,879.8,435.0,"8,12,729","36,66,15,544.00",-,KOTAKBANK
23-Dec-2010,EQ,454.0,455.7,446.7,454.45,447.35,449.1,449.5,879.8,435.0,"7,43,716","33,42,99,982.65",-,KOTAKBANK
22-Dec-2010,EQ,459.0,459.0,451.25,454.75,454.2,454.45,454.81,879.8,435.0,"5,83,371","26,53,20,821.35",-,KOTAKBANK
21-Dec-2010,EQ,453.7,459.25,450.0,449.9,454.05,454.75,453.9,879.8,435.0,"9,33,806","42,38,54,490.20",-,KOTAKBANK
20-Dec-2010,EQ,478.8,478.8,448.05,464.25,450.95,449.9,454.16,879.8,435.0,"7,80,574","35,45,02,020.50",-,KOTAKBANK
16-Dec-2010,EQ,450.5,466.45,447.1,449.85,462.05,464.25,458.72,879.8,435.0,"7,51,432","34,46,94,645.60",-,KOTAKBANK
15-Dec-2010,EQ,467.0,467.0,444.1,467.55,449.7,449.85,453.42,879.8,435.0,"15,06,188","68,29,31,122.15",-,KOTAKBANK
14-Dec-2010,EQ,470.0,473.6,460.3,469.2,467.05,467.55,465.75,879.8,435.0,"10,93,380","50,92,46,652.50",-,KOTAKBANK
13-Dec-2010,EQ,474.0,475.05,454.55,472.2,469.0,469.2,465.43,879.8,435.0,"6,74,755","31,40,53,538.25",-,KOTAKBANK
10-Dec-2010,EQ,452.75,474.0,450.0,452.75,473.0,472.2,467.38,879.8,435.0,"9,94,655","46,48,85,047.20",-,KOTAKBANK
09-Dec-2010,EQ,470.0,471.0,439.85,466.45,456.0,452.75,454.62,879.8,435.0,"8,96,944","40,77,70,030.40",-,KOTAKBANK
08-Dec-2010,EQ,464.9,469.0,453.7,463.95,466.95,466.45,459.98,879.8,435.0,"8,99,909","41,39,42,643.65",-,KOTAKBANK
07-Dec-2010,EQ,478.1,481.1,461.55,480.2,464.05,463.95,468.65,879.8,435.0,"11,90,532","55,79,48,709.50",-,KOTAKBANK
06-Dec-2010,EQ,485.85,495.0,474.6,485.85,477.3,480.2,487.94,879.8,435.0,"7,01,902","34,24,83,904.05",-,KOTAKBANK
03-Dec-2010,EQ,488.55,492.0,482.1,488.55,487.0,485.85,485.34,879.8,435.0,"3,71,735","18,04,18,338.75",-,KOTAKBANK
02-Dec-2010,EQ,484.0,492.0,479.05,480.15,487.0,488.55,485.98,879.8,435.0,"9,67,704","47,02,83,353.65",-,KOTAKBANK
01-Dec-2010,EQ,474.0,487.0,474.0,476.7,477.6,480.15,482.44,879.8,435.0,"8,56,100","41,30,18,338.25",-,KOTAKBANK
30-Nov-2010,EQ,464.95,480.0,455.0,466.05,478.0,476.7,469.37,879.8,435.0,"5,97,808","28,05,91,299.30",-,KOTAKBANK
29-Nov-2010,EQ,461.5,468.0,450.05,461.0,465.8,466.05,461.88,879.8,435.0,"5,50,296","25,41,73,006.75",-,KOTAKBANK
26-Nov-2010,EQ,460.0,473.5,435.0,458.8,462.8,461.0,454.24,879.8,435.0,"7,23,736","32,87,51,754.75",-,KOTAKBANK
25-Nov-2010,EQ,475.0,476.0,450.8,475.8,462.0,458.8,462.61,879.8,435.3,"15,12,654","69,97,70,106.15",-,KOTAKBANK
