"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2017","EQ","1,876.80","1,879.20","1,868.15","1,878.05","1,871.40","1,872.40","1,873.42","1,903.10","1,170.10","15,86,468","2,97,21,20,303.05","29,466"
"28-Dec-2017","EQ","1,858.90","1,880.90","1,858.00","1,856.75","1,870.05","1,878.05","1,873.07","1,903.10","1,170.10","21,75,130","4,07,41,75,062.75","42,854"
"27-Dec-2017","EQ","1,870.10","1,870.30","1,851.15","1,868.35","1,852.50","1,856.75","1,863.90","1,903.10","1,170.10","8,72,346","1,62,59,67,980.30","21,881"
"26-Dec-2017","EQ","1,881.00","1,882.80","1,856.70","1,876.65","1,870.00","1,868.35","1,867.60","1,903.10","1,170.10","16,96,424","3,16,82,35,275.05","23,017"
"22-Dec-2017","EQ","1,879.00","1,880.00","1,861.75","1,868.30","1,874.65","1,876.65","1,870.36","1,903.10","1,168.40","11,17,726","2,09,05,53,505.80","46,791"
"21-Dec-2017","EQ","1,879.90","1,885.00","1,865.20","1,868.15","1,866.05","1,868.30","1,871.04","1,903.10","1,168.40","17,13,636","3,20,62,88,352.65","57,272"
"21-Dec-2017","IL","1,870.00","1,870.00","1,870.00","1,880.00","-","1,870.00","1,870.00","1,880.00","1,250.00","25,343","4,73,91,410.00","12"
"20-Dec-2017","EQ","1,898.90","1,903.10","1,863.65","1,884.50","1,866.35","1,868.15","1,885.29","1,903.10","1,168.40","23,35,876","4,40,38,01,177.45","83,598"
"19-Dec-2017","EQ","1,879.80","1,893.65","1,876.15","1,878.95","1,886.95","1,884.50","1,884.02","1,899.00","1,168.40","12,38,028","2,33,24,75,336.00","34,874"
"18-Dec-2017","EQ","1,855.00","1,899.00","1,809.30","1,873.45","1,878.40","1,878.95","1,876.25","1,899.00","1,168.40","30,74,497","5,76,85,29,010.90","46,417"
"15-Dec-2017","EQ","1,856.00","1,888.00","1,855.50","1,838.05","1,871.00","1,873.45","1,877.73","1,888.00","1,163.60","31,12,531","5,84,44,89,331.25","68,576"
"15-Dec-2017","IL","1,880.00","1,880.00","1,880.00","1,823.00","-","1,880.00","1,880.00","1,880.00","1,250.00","74,902","14,08,15,760.00","2"
"14-Dec-2017","EQ","1,824.00","1,840.00","1,812.00","1,821.35","1,837.10","1,838.05","1,826.18","1,879.60","1,163.60","9,20,773","1,68,14,96,960.90","21,825"
"13-Dec-2017","EQ","1,820.05","1,845.00","1,815.10","1,819.90","1,821.40","1,821.35","1,832.20","1,879.60","1,163.60","7,26,865","1,33,17,63,552.75","27,628"
"13-Dec-2017","IL","1,823.00","1,823.00","1,823.00","1,843.00","-","1,823.00","1,823.00","1,873.00","1,250.00","27,32,642","4,98,16,06,366.00","56"
"12-Dec-2017","EQ","1,849.10","1,849.90","1,815.95","1,846.40","1,818.00","1,819.90","1,826.78","1,879.60","1,163.60","6,02,647","1,10,09,01,256.80","17,546"
"11-Dec-2017","EQ","1,848.00","1,851.75","1,840.00","1,840.40","1,846.40","1,846.40","1,846.99","1,879.60","1,163.60","7,99,558","1,47,67,74,981.65","45,584"
"11-Dec-2017","IL","1,843.00","1,843.00","1,843.00","1,809.50","-","1,843.00","1,843.00","1,873.00","1,250.00","8,57,750","1,58,08,33,250.00","219"
"08-Dec-2017","EQ","1,814.00","1,853.00","1,814.00","1,809.65","1,842.25","1,840.40","1,839.43","1,879.60","1,163.60","22,39,100","4,11,86,73,540.75","38,922"
"07-Dec-2017","EQ","1,806.65","1,816.60","1,803.10","1,803.30","1,810.90","1,809.65","1,809.12","1,879.60","1,163.60","10,57,826","1,91,37,37,162.85","49,113"
"07-Dec-2017","IL","1,805.00","1,809.50","1,805.00","1,856.00","-","1,809.50","1,805.53","1,873.00","1,250.00","3,40,000","61,38,80,000.00","8"
"06-Dec-2017","EQ","1,819.95","1,821.35","1,799.00","1,820.45","1,799.30","1,803.30","1,809.42","1,879.60","1,163.60","15,98,780","2,89,28,66,502.15","47,014"
"05-Dec-2017","EQ","1,826.00","1,828.55","1,807.00","1,834.10","1,824.90","1,820.45","1,818.21","1,879.60","1,163.60","9,73,340","1,76,97,39,387.85","30,980"
"04-Dec-2017","EQ","1,854.90","1,854.90","1,830.10","1,848.20","1,836.30","1,834.10","1,840.43","1,879.60","1,163.60","9,10,483","1,67,56,80,713.00","36,729"
"01-Dec-2017","EQ","1,854.90","1,860.00","1,844.10","1,853.70","1,850.85","1,848.20","1,850.81","1,879.60","1,163.60","9,64,537","1,78,51,77,398.10","39,290"
"30-Nov-2017","EQ","1,868.70","1,873.95","1,840.00","1,873.30","1,852.75","1,853.70","1,859.89","1,879.60","1,163.60","14,49,078","2,69,51,22,047.35","37,220"
"29-Nov-2017","EQ","1,865.00","1,875.50","1,855.80","1,865.35","1,873.00","1,873.30","1,869.11","1,879.60","1,163.60","8,18,646","1,53,01,42,584.45","17,331"
"28-Nov-2017","EQ","1,856.00","1,871.00","1,855.85","1,857.55","1,867.15","1,865.35","1,866.29","1,879.60","1,163.60","12,72,635","2,37,51,05,182.85","44,306"
