"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","690.35","699.80","680.60","685.95","683.70","684.65","690.84","1,158.40","641.00","25,46,166","1,75,89,84,488.05","63,275"
"29-Dec-2011","EQ","691.40","701.00","677.20","697.35","680.85","685.95","690.44","1,158.40","641.00","48,60,118","3,35,56,43,120.40","90,341"
"28-Dec-2011","EQ","720.70","720.80","694.35","726.10","695.15","697.35","703.75","1,158.40","641.00","37,31,427","2,62,59,73,153.70","87,820"
"27-Dec-2011","EQ","727.10","734.00","721.35","729.60","722.95","726.10","726.56","1,158.40","641.00","32,80,754","2,38,36,72,270.70","60,287"
"26-Dec-2011","EQ","721.00","734.70","719.05","721.75","727.15","729.60","729.09","1,158.40","641.00","25,73,228","1,87,61,06,947.95","68,290"
"23-Dec-2011","EQ","728.40","734.40","714.30","728.15","721.00","721.75","724.00","1,158.40","641.00","55,43,359","4,01,33,78,314.85","1,03,846"
"22-Dec-2011","EQ","690.00","741.00","683.60","702.35","719.00","728.15","708.17","1,158.40","641.00","88,09,539","6,23,86,38,569.10","1,42,145"
"21-Dec-2011","EQ","675.90","709.00","671.65","653.40","703.50","702.35","691.64","1,158.40","641.00","79,96,492","5,53,06,57,582.90","1,28,064"
"20-Dec-2011","EQ","662.00","671.00","648.15","657.20","654.40","653.40","657.30","1,158.40","641.00","47,02,588","3,09,10,15,171.90","95,349"
"19-Dec-2011","EQ","672.00","672.00","641.00","676.00","655.90","657.20","651.48","1,158.40","641.00","61,97,679","4,03,76,35,524.20","1,25,630"
"16-Dec-2011","EQ","699.20","715.00","664.85","698.60","672.70","676.00","693.65","1,158.40","664.85","77,12,758","5,34,99,75,948.00","1,39,020"
"15-Dec-2011","EQ","698.00","705.90","689.05","704.40","698.05","698.60","697.41","1,158.40","689.05","50,36,729","3,51,26,86,103.25","1,32,009"
"14-Dec-2011","EQ","700.00","717.00","693.40","706.45","706.00","704.40","705.97","1,158.40","690.15","82,19,622","5,80,27,68,542.00","1,54,137"
"13-Dec-2011","EQ","700.00","712.50","690.15","707.10","709.30","706.45","701.16","1,158.40","690.15","59,61,621","4,18,00,68,589.40","1,52,643"
"12-Dec-2011","EQ","744.00","744.00","704.10","731.15","706.55","707.10","719.14","1,158.40","704.10","56,70,337","4,07,77,50,205.25","1,13,052"
"09-Dec-2011","EQ","731.00","741.95","722.10","744.30","733.60","731.15","732.61","1,195.20","704.90","74,91,358","5,48,82,44,482.35","1,46,150"
"08-Dec-2011","EQ","758.50","765.65","739.05","767.85","745.10","744.30","750.27","1,195.20","704.90","71,80,736","5,38,74,93,740.25","1,30,832"
"07-Dec-2011","EQ","784.00","785.90","764.60","779.55","764.60","767.85","775.95","1,195.20","704.90","64,63,917","5,01,56,70,229.20","1,22,874"
"05-Dec-2011","EQ","786.00","790.30","771.70","787.70","782.90","779.55","781.57","1,195.20","704.90","47,04,735","3,67,70,80,073.30","93,953"
"02-Dec-2011","EQ","765.30","792.00","758.10","762.15","789.40","787.70","777.32","1,202.00","704.90","70,25,510","5,46,10,86,093.25","1,50,167"
"01-Dec-2011","EQ","754.00","776.00","753.10","712.45","762.00","762.15","759.84","1,202.00","704.90","1,03,23,400","7,84,41,39,157.45","1,74,703"
"30-Nov-2011","EQ","724.00","734.25","704.90","733.95","730.30","712.45","716.55","1,202.00","704.90","3,18,87,495","22,84,90,17,962.20","2,69,331"
"29-Nov-2011","EQ","750.50","756.00","722.65","749.85","736.70","733.95","740.29","1,202.00","710.00","86,46,975","6,40,12,52,378.30","1,49,040"
"28-Nov-2011","EQ","730.00","753.75","728.05","718.20","750.50","749.85","742.64","1,202.00","710.00","56,37,408","4,18,65,41,306.20","1,58,912"
"25-Nov-2011","EQ","725.30","734.65","712.65","730.10","717.00","718.20","724.98","1,202.00","710.00","49,97,810","3,62,33,22,932.85","1,02,196"
"24-Nov-2011","EQ","726.00","736.00","719.00","726.70","735.00","730.10","727.43","1,202.00","710.00","54,04,456","3,93,13,68,628.20","83,235"
"23-Nov-2011","EQ","739.95","740.00","710.00","745.45","730.00","726.70","725.71","1,202.00","710.00","65,03,203","4,71,94,44,335.55","1,36,375"
"22-Nov-2011","EQ","740.05","752.00","734.20","731.60","744.00","745.45","745.14","1,202.00","725.90","69,34,624","5,16,72,87,385.85","1,10,654"
"21-Nov-2011","EQ","762.90","766.00","725.90","770.10","738.45","731.60","745.40","1,202.00","725.90","48,65,138","3,62,64,86,547.30","89,397"
"18-Nov-2011","EQ","770.00","773.25","748.00","778.20","772.30","770.10","761.04","1,240.50","748.00","51,09,126","3,88,82,65,075.35","1,16,466"
"17-Nov-2011","EQ","790.50","798.85","774.20","788.85","775.85","778.20","786.97","1,240.50","761.40","41,88,528","3,29,62,26,333.90","93,952"
