"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2016","EQ","1,102.50","1,115.95","1,097.50","1,105.65","1,107.00","1,107.90","1,108.31","1,256.05","799.00","9,09,854","1,00,83,98,874.60","43,482"
"29-Dec-2016","EQ","1,076.10","1,109.00","1,074.25","1,082.10","1,101.00","1,105.65","1,095.11","1,256.05","799.00","13,40,234","1,46,77,03,945.15","60,392"
"28-Dec-2016","EQ","1,067.80","1,097.90","1,060.20","1,063.35","1,081.00","1,082.10","1,084.51","1,256.05","799.00","12,67,710","1,37,48,46,634.30","38,903"
"27-Dec-2016","EQ","1,060.00","1,067.20","1,051.10","1,060.50","1,059.70","1,063.35","1,056.62","1,256.05","799.00","11,93,147","1,26,06,97,558.45","78,730"
"26-Dec-2016","EQ","1,061.00","1,064.50","1,048.80","1,062.00","1,064.00","1,060.50","1,057.10","1,256.05","799.00","7,05,664","74,59,59,560.85","31,396"
"23-Dec-2016","EQ","1,051.05","1,069.40","1,037.00","1,060.80","1,065.20","1,062.00","1,058.19","1,256.05","799.00","8,38,333","88,71,15,905.65","39,547"
"22-Dec-2016","EQ","1,079.00","1,080.60","1,049.25","1,086.25","1,060.00","1,060.80","1,062.19","1,256.05","799.00","8,99,704","95,56,57,422.90","45,639"
"21-Dec-2016","EQ","1,075.00","1,099.95","1,063.05","1,071.90","1,082.60","1,086.25","1,074.46","1,256.05","799.00","15,44,748","1,65,97,67,507.10","67,158"
"20-Dec-2016","EQ","1,086.85","1,088.90","1,067.25","1,084.90","1,072.50","1,071.90","1,074.02","1,256.05","799.00","11,03,786","1,18,54,83,874.55","71,418"
"19-Dec-2016","EQ","1,081.00","1,094.25","1,074.10","1,082.70","1,084.95","1,084.90","1,085.68","1,256.05","799.00","7,69,000","83,48,85,288.75","43,517"
"16-Dec-2016","EQ","1,082.10","1,094.15","1,069.20","1,081.05","1,087.10","1,082.70","1,082.43","1,256.05","799.00","22,65,499","2,45,22,41,591.95","52,283"
"15-Dec-2016","EQ","1,060.00","1,092.90","1,057.05","1,071.85","1,084.95","1,081.05","1,081.24","1,256.05","799.00","13,27,125","1,43,49,42,617.20","39,169"
"14-Dec-2016","EQ","1,088.95","1,088.95","1,068.60","1,089.80","1,071.00","1,071.85","1,074.99","1,256.05","799.00","7,91,234","85,05,68,264.55","27,004"
"13-Dec-2016","EQ","1,081.25","1,094.00","1,076.00","1,085.30","1,085.55","1,089.80","1,083.36","1,256.05","799.00","7,84,710","85,01,21,813.05","45,612"
"12-Dec-2016","EQ","1,108.80","1,108.80","1,082.95","1,112.85","1,084.00","1,085.30","1,097.26","1,256.05","799.00","4,12,094","45,21,73,360.25","16,595"
"09-Dec-2016","EQ","1,105.00","1,116.95","1,092.35","1,098.30","1,113.20","1,112.85","1,109.80","1,256.05","799.00","10,68,419","1,18,57,34,779.35","23,600"
"08-Dec-2016","EQ","1,081.90","1,106.60","1,081.00","1,076.15","1,100.10","1,098.30","1,095.70","1,256.05","799.00","10,91,448","1,19,58,99,198.75","57,522"
"07-Dec-2016","EQ","1,086.00","1,088.45","1,057.55","1,082.70","1,081.00","1,076.15","1,076.47","1,256.05","799.00","9,98,392","1,07,47,37,229.60","21,502"
"06-Dec-2016","EQ","1,090.00","1,091.95","1,073.05","1,083.75","1,086.00","1,082.70","1,082.84","1,256.05","799.00","5,25,242","56,87,53,625.60","29,358"
"05-Dec-2016","EQ","1,055.50","1,088.70","1,052.30","1,056.50","1,088.70","1,083.75","1,070.07","1,256.05","799.00","8,71,979","93,30,74,428.10","26,940"
"02-Dec-2016","EQ","1,076.90","1,076.90","1,052.10","1,080.70","1,061.00","1,056.50","1,059.05","1,256.05","799.00","16,30,301","1,72,65,65,875.55","50,869"
"01-Dec-2016","EQ","1,084.00","1,089.00","1,071.60","1,086.65","1,080.00","1,080.70","1,080.88","1,256.05","799.00","10,99,195","1,18,81,02,750.70","33,199"
"30-Nov-2016","EQ","1,064.00","1,096.60","1,057.65","1,059.95","1,082.00","1,086.65","1,081.15","1,256.05","799.00","18,47,669","1,99,76,01,533.05","83,536"
"29-Nov-2016","EQ","1,050.00","1,069.80","1,042.50","1,050.35","1,062.00","1,059.95","1,060.38","1,256.05","799.00","13,16,715","1,39,62,15,492.70","58,572"
"28-Nov-2016","EQ","1,063.00","1,073.70","1,046.10","1,073.35","1,046.15","1,050.35","1,060.03","1,256.05","799.00","11,81,510","1,25,24,34,420.05","67,816"
"25-Nov-2016","EQ","1,044.90","1,081.90","1,044.90","1,044.40","1,072.00","1,073.35","1,071.02","1,256.05","799.00","10,85,823","1,16,29,38,441.50","58,216"
"24-Nov-2016","EQ","1,061.20","1,067.90","1,036.70","1,064.95","1,048.00","1,044.40","1,051.19","1,256.05","799.00","20,66,988","2,17,28,01,049.65","79,462"
"23-Nov-2016","EQ","1,078.00","1,078.05","1,060.00","1,071.55","1,068.00","1,064.95","1,065.97","1,256.05","799.00","8,90,424","94,91,63,771.05","68,470"
"22-Nov-2016","EQ","1,071.75","1,076.75","1,057.25","1,059.10","1,072.25","1,071.55","1,065.91","1,256.05","799.00","14,31,659","1,52,60,25,012.65","89,251"
"21-Nov-2016","EQ","1,108.00","1,108.00","1,045.95","1,101.65","1,064.00","1,059.10","1,061.35","1,256.05","799.00","18,29,643","1,94,18,91,438.20","72,400"
"18-Nov-2016","EQ","1,106.30","1,130.00","1,097.05","1,100.35","1,104.40","1,101.65","1,104.65","1,256.05","799.00","11,20,978","1,23,82,88,583.30","70,096"
"17-Nov-2016","EQ","1,096.70","1,112.40","1,090.00","1,095.15","1,104.00","1,100.35","1,101.11","1,256.05","799.00","20,56,516","2,26,44,56,039.55","99,107"
"16-Nov-2016","EQ","1,100.10","1,116.35","1,076.00","1,093.10","1,097.80","1,095.15","1,096.28","1,256.05","799.00","26,15,803","2,86,76,54,738.05","1,20,068"
"15-Nov-2016","EQ","1,198.90","1,199.95","1,080.00","1,192.35","1,091.65","1,093.10","1,115.82","1,256.05","799.00","37,08,003","4,13,74,59,787.40","1,27,067"
"11-Nov-2016","EQ","1,210.00","1,229.15","1,188.05","1,214.15","1,195.00","1,192.35","1,201.71","1,256.05","799.00","14,74,968","1,77,24,87,308.50","32,814"
"10-Nov-2016","EQ","1,209.70","1,228.75","1,203.15","1,199.20","1,210.00","1,214.15","1,216.82","1,256.05","799.00","14,40,450","1,75,27,61,843.50","29,902"
"09-Nov-2016","EQ","1,155.00","1,207.55","1,150.00","1,211.00","1,198.75","1,199.20","1,184.97","1,256.05","799.00","24,34,361","2,88,46,36,018.95","51,258"
"08-Nov-2016","EQ","1,217.90","1,217.90","1,203.00","1,215.70","1,215.00","1,211.00","1,209.60","1,256.05","799.00","6,98,079","84,43,98,152.75","28,765"
"07-Nov-2016","EQ","1,225.75","1,228.90","1,209.65","1,219.20","1,215.00","1,215.70","1,219.97","1,256.05","799.00","5,78,154","70,53,29,329.35","15,742"
"04-Nov-2016","EQ","1,234.00","1,234.00","1,206.75","1,230.90","1,214.90","1,219.20","1,218.56","1,256.05","799.00","7,95,944","96,99,07,866.50","23,032"
"03-Nov-2016","EQ","1,217.00","1,234.00","1,217.00","1,229.45","1,230.95","1,230.90","1,229.24","1,256.05","799.00","5,30,638","65,22,79,139.05","17,379"
"02-Nov-2016","EQ","1,204.25","1,236.45","1,200.00","1,214.25","1,230.00","1,229.45","1,222.45","1,256.05","799.00","22,23,984","2,71,87,07,951.70","34,187"
"01-Nov-2016","EQ","1,197.00","1,221.00","1,186.25","1,195.00","1,212.85","1,214.25","1,206.87","1,256.05","799.00","17,07,549","2,06,07,97,991.45","19,889"
"30-Oct-2016","EQ","1,205.00","1,206.35","1,188.30","1,199.80","1,196.00","1,195.00","1,197.85","1,256.05","799.00","52,458","6,28,36,696.90","1,550"
