"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","1,762.00","1,801.00","1,760.05","1,755.25","1,797.80","1,796.10","1,791.77","2,253.00","1,626.00","22,12,892","3,96,49,95,209.35","83,511"
"30-Dec-2021","EQ","1,759.00","1,769.95","1,743.65","1,764.20","1,762.90","1,755.25","1,757.22","2,253.00","1,626.00","24,98,395","4,39,02,38,025.55","73,293"
"29-Dec-2021","EQ","1,774.00","1,780.00","1,754.10","1,774.90","1,758.85","1,764.20","1,771.11","2,253.00","1,626.00","14,11,908","2,50,06,38,335.90","50,495"
"28-Dec-2021","EQ","1,785.00","1,789.70","1,765.55","1,773.45","1,775.00","1,774.90","1,777.25","2,253.00","1,626.00","12,85,671","2,28,49,62,360.95","67,015"
"27-Dec-2021","EQ","1,743.10","1,778.95","1,721.00","1,748.40","1,773.50","1,773.45","1,761.09","2,253.00","1,626.00","16,53,833","2,91,25,55,137.65","85,507"
"24-Dec-2021","EQ","1,780.00","1,780.00","1,730.00","1,775.60","1,747.45","1,748.40","1,744.36","2,253.00","1,626.00","22,71,570","3,96,24,35,938.90","73,601"
"23-Dec-2021","EQ","1,784.90","1,788.70","1,767.35","1,762.40","1,771.80","1,775.60","1,777.48","2,253.00","1,626.00","19,19,649","3,41,21,45,385.50","1,10,780"
"22-Dec-2021","EQ","1,748.00","1,770.00","1,733.15","1,736.55","1,768.00","1,762.40","1,749.73","2,253.00","1,626.00","34,53,839","6,04,32,98,307.85","1,15,430"
"21-Dec-2021","EQ","1,761.05","1,768.00","1,721.00","1,742.50","1,738.00","1,736.55","1,747.08","2,253.00","1,626.00","22,64,231","3,95,58,01,643.50","1,06,300"
"20-Dec-2021","EQ","1,780.00","1,780.00","1,722.40","1,793.80","1,737.00","1,742.50","1,740.23","2,253.00","1,626.00","32,69,179","5,68,91,27,549.90","2,68,676"
"17-Dec-2021","EQ","1,855.00","1,859.95","1,790.00","1,860.75","1,796.15","1,793.80","1,810.42","2,253.00","1,626.00","29,35,126","5,31,38,08,030.75","1,54,309"
"16-Dec-2021","EQ","1,885.90","1,890.95","1,850.90","1,867.40","1,861.00","1,860.75","1,869.81","2,253.00","1,626.00","30,54,462","5,71,12,76,508.90","68,423"
"15-Dec-2021","EQ","1,845.60","1,881.75","1,836.75","1,840.40","1,867.00","1,867.40","1,859.58","2,253.00","1,626.00","53,05,747","9,86,64,37,572.15","1,47,048"
"14-Dec-2021","EQ","1,873.10","1,874.00","1,816.05","1,873.10","1,839.70","1,840.40","1,833.96","2,253.00","1,626.00","1,01,11,252","18,54,36,48,068.15","1,86,039"
"13-Dec-2021","EQ","1,910.00","1,916.00","1,862.25","1,896.75","1,874.50","1,873.10","1,889.91","2,253.00","1,626.00","40,85,110","7,72,04,78,181.05","1,40,174"
"10-Dec-2021","EQ","1,915.00","1,920.00","1,888.50","1,916.35","1,897.00","1,896.75","1,898.43","2,253.00","1,626.00","30,54,922","5,79,95,51,360.20","90,504"
