"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Dec-2017","EQ","310.00","312.00","309.05","308.40","310.00","309.90","310.39","351.30","241.10","1,19,39,569","3,70,59,04,665.80","98,011"
"28-Dec-2017","EQ","315.30","316.50","307.65","314.85","308.30","308.40","310.67","351.30","241.10","2,03,53,152","6,32,30,20,584.75","1,12,379"
"27-Dec-2017","EQ","316.50","320.30","313.05","317.15","313.45","314.85","316.25","351.30","241.10","1,42,76,027","4,51,47,49,324.85","72,884"
"26-Dec-2017","EQ","318.60","319.95","316.30","319.85","317.00","317.15","317.39","351.30","241.10","93,29,690","2,96,11,27,927.40","63,313"
"22-Dec-2017","EQ","317.10","323.85","316.50","316.75","319.10","319.85","320.59","351.30","241.10","1,38,21,639","4,43,10,84,703.80","1,02,536"
"21-Dec-2017","EQ","316.60","318.20","315.40","317.50","316.30","316.75","316.89","351.30","241.10","99,16,409","3,14,24,30,067.50","98,974"
"20-Dec-2017","EQ","319.00","319.00","316.50","319.80","317.35","317.50","317.75","351.30","241.10","98,95,770","3,14,43,62,825.50","1,09,485"
"19-Dec-2017","EQ","319.45","322.25","318.40","318.90","320.00","319.80","320.10","351.30","241.10","1,47,41,481","4,71,88,05,568.20","97,283"
"18-Dec-2017","EQ","308.00","323.50","300.40","312.25","318.70","318.90","316.92","351.30","241.10","3,21,19,915","10,17,94,11,619.90","2,00,523"
"15-Dec-2017","EQ","318.40","319.35","311.50","314.00","312.35","312.25","314.57","351.30","241.10","1,60,50,711","5,04,91,19,027.35","1,30,277"
"14-Dec-2017","EQ","314.30","315.40","309.50","313.30","313.85","314.00","312.71","351.30","241.10","1,38,94,451","4,34,49,72,193.85","90,600"
"13-Dec-2017","EQ","316.15","318.95","311.15","318.45","313.35","313.30","316.11","351.30","241.10","1,75,40,585","5,54,48,32,800.95","1,07,381"
"12-Dec-2017","EQ","317.75","320.50","314.65","318.40","318.00","318.45","317.60","351.30","241.10","1,76,58,856","5,60,83,82,060.10","1,25,783"
"11-Dec-2017","EQ","315.95","319.30","315.10","313.10","318.05","318.40","317.56","351.30","241.10","1,40,14,369","4,45,04,30,335.80","1,23,100"
"08-Dec-2017","EQ","316.60","318.85","312.10","316.40","313.20","313.10","314.65","351.30","241.10","1,64,18,832","5,16,62,22,137.95","1,11,096"
