Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
31-Dec-2010,EQ,"2,754.00","2,827.45","2,753.05","2,749.65","2,809.00","2,811.90","2,796.65","3,515.00","1,863.10","19,62,414","5,48,81,75,688.30",-,SBIN
30-Dec-2010,EQ,"2,751.00","2,780.45","2,741.80","2,755.20","2,748.80","2,749.65","2,759.60","3,515.00","1,863.10","21,06,254","5,81,24,18,200.50",-,SBIN
29-Dec-2010,EQ,"2,735.00","2,763.20","2,731.25","2,728.50","2,754.05","2,755.20","2,748.99","3,515.00","1,863.10","9,24,155","2,54,04,91,782.00",-,SBIN
28-Dec-2010,EQ,"2,765.00","2,765.00","2,725.00","2,751.20","2,726.50","2,728.50","2,737.55","3,515.00","1,863.10","9,76,433","2,67,30,34,839.65",-,SBIN
27-Dec-2010,EQ,"2,764.50","2,771.35","2,745.60","2,755.35","2,750.00","2,751.20","2,755.42","3,515.00","1,863.10","10,20,445","2,81,17,52,317.00",-,SBIN
24-Dec-2010,EQ,"2,746.00","2,769.00","2,730.00","2,746.25","2,752.00","2,755.35","2,758.20","3,515.00","1,863.10","11,54,563","3,18,45,17,067.60",-,SBIN
23-Dec-2010,EQ,"2,755.00","2,767.90","2,735.10","2,744.95","2,741.00","2,746.25","2,750.83","3,515.00","1,863.10","11,98,836","3,29,77,98,566.35",-,SBIN
22-Dec-2010,EQ,"2,748.00","2,788.00","2,730.00","2,743.75","2,743.00","2,744.95","2,760.64","3,515.00","1,863.10","18,93,840","5,22,82,13,975.40",-,SBIN
21-Dec-2010,EQ,"2,709.25","2,765.00","2,709.25","2,700.45","2,737.50","2,743.75","2,747.92","3,515.00","1,863.10","19,61,334","5,38,95,94,857.20",-,SBIN
20-Dec-2010,EQ,"2,750.00","2,750.00","2,690.00","2,762.95","2,696.20","2,700.45","2,712.08","3,515.00","1,863.10","24,81,045","6,72,88,04,833.15",-,SBIN
16-Dec-2010,EQ,"2,709.00","2,779.00","2,677.40","2,698.05","2,756.10","2,762.95","2,732.10","3,515.00","1,863.10","45,92,294","12,54,65,88,586.50",-,SBIN
15-Dec-2010,EQ,"2,783.00","2,783.00","2,670.00","2,792.70","2,705.00","2,698.05","2,713.70","3,515.00","1,863.10","30,59,475","8,30,24,82,555.05",-,SBIN
14-Dec-2010,EQ,"2,749.20","2,805.00","2,740.55","2,744.85","2,782.00","2,792.70","2,772.39","3,515.00","1,863.10","24,18,179","6,70,41,43,791.25",-,SBIN
13-Dec-2010,EQ,"2,745.50","2,780.00","2,695.00","2,732.45","2,748.00","2,744.85","2,735.72","3,515.00","1,863.10","42,07,333","11,51,00,64,964.20",-,SBIN
10-Dec-2010,EQ,"2,684.00","2,744.55","2,655.50","2,686.90","2,732.00","2,732.45","2,704.47","3,515.00","1,863.10","52,26,198","14,13,40,72,339.65",-,SBIN
09-Dec-2010,EQ,"2,815.00","2,817.00","2,666.50","2,805.00","2,686.60","2,686.90","2,733.20","3,515.00","1,863.10","43,13,053","11,78,84,31,452.70",-,SBIN
